group_name,mean_cpu_time,mean_wait_time,mean_exec_time
c_100_m_128,43030.039875,0.0,43030.039875
c_100_m_256,309166.68425,1292376.472625,1601543.1568749999
c_100_m_32,8047.622125,0.0,8047.622125
c_100_m_64,12082.039,16425.6165,28507.655499999997
c_25_m_128,715716.7930000001,28515.29325,744232.08625
c_25_m_256,917759.253,888150.959375,1805910.2123750001
c_25_m_32,588909.919375,0.0,588909.919375
c_25_m_64,682538.001125,0.0,682538.001125
c_50_m_128,398977.481375,30516.73775,429494.219125
c_50_m_256,610586.18675,995392.7416249999,1605978.928375
c_50_m_32,268144.044,0.0,268144.044
c_50_m_64,365934.4035,18999.10725,384933.51075
c_75_m_128,206850.47475,13630.89975,220481.3745
c_75_m_256,443829.040125,1289457.738125,1733286.77825
c_75_m_32,173194.94375,0.0,173194.94375
c_75_m_64,177234.27675,0.0,177234.27675
