group_name,thread_number,cpu_time(us),wait_time(us),exec_time(us)
c_100_m_32,27,5226.225,0.0,5226.225
c_100_m_32,31,9118.745,0.0,9118.745
c_100_m_64,59,12026.428,0.0,12026.428
c_100_m_64,63,15240.598,0.0,15240.598
c_100_m_128,91,34429.0,0.0,34429.0
c_100_m_128,95,55120.942,0.0,55120.942
c_75_m_32,19,186065.99,0.0,186065.99
c_75_m_32,23,186065.99,0.0,186065.99
c_75_m_64,51,190081.772,0.0,190081.772
c_75_m_64,55,191825.274,0.0,191825.274
c_75_m_128,83,210698.131,0.0,210698.131
c_75_m_128,87,233155.998,0.0,233155.998
c_50_m_32,11,475221.531,0.0,475221.531
c_50_m_32,15,475990.969,0.0,475990.969
c_50_m_64,43,477885.144,0.0,477885.144
c_50_m_64,47,481916.987,0.0,481916.987
c_50_m_128,75,500963.359,0.0,500963.359
c_50_m_128,79,525580.172,0.0,525580.172
c_25_m_32,3,784788.93,0.0,784788.93
c_25_m_32,7,785692.78,0.0,785692.78
c_25_m_64,35,788292.663,0.0,788292.663
c_25_m_64,39,790807.769,0.0,790807.769
c_25_m_128,67,810806.066,0.0,810806.066
c_25_m_128,71,830286.661,0.0,830286.661
c_100_m_256,123,231979.684,877296.036,1109275.72
c_50_m_256,111,759599.661,478660.797,1238260.458
c_75_m_256,115,409986.087,886972.552,1296958.639
c_100_m_256,127,275454.864,1025511.773,1300966.637
c_75_m_256,119,447836.413,859404.191,1307240.604
c_25_m_256,99,993301.386,454649.254,1447950.64
c_25_m_256,103,1063620.095,468692.351,1532312.446
c_50_m_256,107,693404.414,866015.315,1559419.729
c_25_m_32,0,3031.057,0.0,3031.057
c_100_m_32,24,3428.536,0.0,3428.536
c_100_m_32,28,3874.606,0.0,3874.606
c_100_m_64,56,6382.829,0.0,6382.829
c_100_m_128,88,28683.98,0.0,28683.98
c_100_m_128,92,48480.601,0.0,48480.601
c_100_m_64,60,9226.14,119223.45,128449.59
c_75_m_32,16,150611.416,0.0,150611.416
c_75_m_32,20,151007.474,0.0,151007.474
c_75_m_64,48,153506.862,0.0,153506.862
c_75_m_64,52,156036.381,0.0,156036.381
c_75_m_128,84,184115.702,0.0,184115.702
c_75_m_128,80,176379.839,163139.952,339519.791
c_50_m_32,8,456625.214,0.0,456625.214
c_50_m_32,12,457036.755,0.0,457036.755
c_50_m_64,44,461730.215,0.0,461730.215
c_50_m_128,72,482494.852,0.0,482494.852
c_50_m_128,76,502659.596,0.0,502659.596
c_50_m_64,40,459738.609,183666.358,643404.967
c_100_m_256,124,230265.139,515650.66,745915.799
c_25_m_32,4,746357.692,0.0,746357.692
c_25_m_64,32,748914.066,0.0,748914.066
c_25_m_64,36,751451.702,0.0,751451.702
c_25_m_128,68,775950.113,0.0,775950.113
c_25_m_128,64,771767.66,136827.706,908595.366
c_100_m_256,120,217156.343,805658.913,1022815.256
c_75_m_256,112,352411.566,716840.258,1069251.824
c_75_m_256,116,382227.096,821795.846,1204022.942
c_50_m_256,108,721483.665,573731.944,1295215.609
c_50_m_256,104,670627.762,710684.376,1381312.138
c_25_m_256,96,954424.17,676981.257,1631405.427
c_25_m_256,100,1036026.772,454163.953,1490190.725
c_100_m_32,25,6658.89,0.0,6658.89
c_100_m_32,29,7029.473,0.0,7029.473
c_100_m_64,57,9522.608,0.0,9522.608
c_100_m_64,61,11972.904,0.0,11972.904
c_100_m_128,89,31661.57,0.0,31661.57
c_100_m_128,93,51587.103,0.0,51587.103
c_75_m_32,17,207737.547,0.0,207737.547
c_75_m_32,21,208118.562,0.0,208118.562
c_75_m_64,49,210559.86,0.0,210559.86
c_75_m_64,53,213017.978,0.0,213017.978
c_75_m_128,81,232679.159,0.0,232679.159
c_75_m_128,85,252526.341,0.0,252526.341
c_50_m_32,9,449142.483,0.0,449142.483
c_50_m_32,13,449530.527,0.0,449530.527
c_50_m_64,41,451959.507,0.0,451959.507
c_50_m_64,45,454433.724,0.0,454433.724
c_50_m_128,73,474184.244,0.0,474184.244
c_50_m_128,77,493834.169,0.0,493834.169
c_25_m_32,1,704135.579,0.0,704135.579
c_25_m_32,5,704513.505,0.0,704513.505
c_25_m_64,33,706969.186,0.0,706969.186
c_25_m_64,37,709435.167,0.0,709435.167
c_25_m_128,65,731350.823,0.0,731350.823
c_25_m_128,69,754784.91,0.0,754784.91
c_100_m_256,125,238357.84,829790.702,1068148.542
c_75_m_256,113,419639.319,1109616.452,1529255.771
c_100_m_256,121,221100.465,955335.658,1176436.123
c_75_m_256,117,438135.14,1252821.829,1690956.969
c_25_m_256,101,924120.443,964881.719,1889002.162
c_50_m_256,105,657528.363,467526.131,1125054.494
c_25_m_256,97,926362.949,1017777.8,1944140.749
c_50_m_256,109,679510.787,610312.51,1289823.297
c_25_m_32,2,7057.843,0.0,7057.843
c_100_m_32,26,7455.546,0.0,7455.546
c_100_m_32,30,7900.086,0.0,7900.086
c_100_m_64,58,10383.569,0.0,10383.569
c_100_m_64,62,12859.261,0.0,12859.261
c_100_m_128,90,32731.115,0.0,32731.115
c_100_m_128,94,59877.16,0.0,59877.16
c_75_m_32,18,184227.263,0.0,184227.263
c_75_m_32,22,184616.582,0.0,184616.582
c_75_m_64,50,187078.183,0.0,187078.183
c_75_m_64,54,189557.772,0.0,189557.772
c_75_m_128,82,209392.402,0.0,209392.402
c_75_m_128,86,229181.345,0.0,229181.345
c_50_m_32,10,400714.705,0.0,400714.705
c_50_m_32,14,401110.503,0.0,401110.503
c_50_m_64,42,403558.693,0.0,403558.693
c_50_m_64,46,406064.374,0.0,406064.374
c_50_m_128,74,426014.587,0.0,426014.587
c_50_m_128,78,446017.491,0.0,446017.491
c_25_m_32,6,673191.817,0.0,673191.817
c_25_m_64,34,675707.783,0.0,675707.783
c_25_m_64,38,678204.723,0.0,678204.723
c_25_m_128,66,698744.125,0.0,698744.125
c_25_m_128,70,718792.865,0.0,718792.865
c_75_m_256,114,394044.403,524751.845,918796.248
c_50_m_256,106,615401.591,1110641.18,1726042.771
c_100_m_256,122,229052.976,799889.628,1028942.604
c_100_m_256,126,232001.52,1544728.89,1776730.41
c_25_m_256,102,888969.225,760396.062,1649365.287
c_25_m_256,98,887464.015,918109.106,1805573.121
c_75_m_256,118,410620.463,729271.192,1139891.655
c_50_m_256,110,626901.296,666174.633,1293075.929
