t_1, c_25, s_32, 0.039030, 0.000000, 0.039030
t_2, c_25, s_32, 0.039615, 0.000000, 0.039615
t_3, c_25, s_32, 0.039228, 0.000000, 0.039228
t_4, c_25, s_32, 0.039083, 0.000000, 0.039083
t_5, c_25, s_32, 0.039227, 0.000000, 0.039227
t_6, c_25, s_32, 0.038984, 0.000000, 0.038984
t_7, c_25, s_32, 0.038929, 0.000000, 0.038929
t_8, c_50, s_32, 0.040050, 0.000000, 0.040050
t_9, c_50, s_32, 0.038944, 0.000000, 0.038944
t_10, c_50, s_32, 0.039922, 0.000000, 0.039922
t_11, c_50, s_32, 0.038957, 0.000000, 0.038957
t_12, c_50, s_32, 0.038897, 0.000000, 0.038897
t_13, c_50, s_32, 0.038837, 0.000000, 0.038837
t_14, c_50, s_32, 0.038738, 0.000000, 0.038738
t_15, c_50, s_32, 0.038753, 0.000000, 0.038753
t_16, c_75, s_32, 0.039031, 0.000000, 0.039031
t_17, c_75, s_32, 0.038975, 0.000000, 0.038975
t_18, c_75, s_32, 0.038819, 0.000000, 0.038819
t_19, c_75, s_32, 0.038937, 0.000000, 0.038937
t_20, c_75, s_32, 0.038836, 0.000000, 0.038836
t_21, c_75, s_32, 0.038907, 0.000000, 0.038907
t_22, c_75, s_32, 0.039047, 0.000000, 0.039047
t_23, c_75, s_32, 0.039039, 0.000000, 0.039039
t_24, c_100, s_32, 0.038937, 0.000000, 0.038937
t_25, c_100, s_32, 0.038941, 0.000000, 0.038941
t_27, c_100, s_32, 0.039202, 0.000000, 0.039202
t_26, c_100, s_32, 0.038959, 0.000000, 0.038959
t_28, c_100, s_32, 0.038823, 0.000000, 0.038823
t_29, c_100, s_32, 0.141348, 0.000000, 0.141348
t_30, c_100, s_32, 0.038930, 0.000000, 0.038930
t_31, c_100, s_32, 0.039040, 0.000000, 0.039040
t_32, c_25, s_64, 0.327831, 0.000000, 0.327831
t_33, c_25, s_64, 0.156127, 0.000000, 0.156127
t_34, c_25, s_64, 0.135547, 0.000000, 0.135547
t_35, c_25, s_64, 0.370297, 0.000000, 0.370297
t_37, c_25, s_64, 0.126026, 0.000000, 0.126026
t_36, c_25, s_64, 0.126931, 0.000000, 0.126931
t_38, c_25, s_64, 0.154128, 0.000000, 0.154128
t_39, c_25, s_64, 0.395787, 0.000000, 0.395787
t_40, c_50, s_64, 0.126040, 0.000000, 0.126040
t_41, c_50, s_64, 0.126075, 0.000000, 0.126075
t_42, c_50, s_64, 0.131617, 0.000000, 0.131617
t_43, c_50, s_64, 0.378076, 0.000000, 0.378076
t_45, c_50, s_64, 0.383726, 0.000000, 0.383726
 c_25, s_64, 0.135547, 0.000000, 0.135547
t_35, c_25, s_64, 0.370297, 0.000000, 0.370297
t_37, c_25, s_64, 0.126026, 0.000000, 0.126026
t_36, c_25, s_64, 0.126931, 0.000000, 0.126931
t_38, c_25, s_64, 0.154128, 0.000000, 0.154128
t_39, c_25, s_64, 0.395787, 0.000000, 0.395787
t_40, c_50, s_64, 0.126040, 0.000000, 0.126040
t_41, c_50, s_64, 0.126075, 0.000000, 0.126075
t_42, c_50, s_64, 0.131617, 0.000000, 0.131617
t_43, c_50, s_64, 0.378076, 0.000000, 0.378076
t_45, c_50, s_64, 0.383726, t_46, c_50, s_64, 0.147908, 0.000000, 0.147908
t_44, c_50, s_64, 0.126670, 0.000000, 0.126670
t_47, c_50, s_64, 0.460097, 0.000000, 0.460097
t_48, c_75, s_64, 0.131944, 0.000000, 0.131944
t_49, c_75, s_64, 0.412448, 0.000000, 0.412448
t_50, c_75, s_64, 0.172160, 0.000000, 0.172160
t_51, c_75, s_64, 0.401060, 0.000000, 0.401060
t_52, c_75, s_64, 0.345666, 0.000000, 0.345666
t_53, c_75, s_64, 0.134148, 0.000000, 0.134148
t_54, c_75, s_64, 0.470600, 0.000000, 0.470600
t_55, c_75, s_64, 0.146635, 0.000000, 0.146635
t_56, c_100, s_64, 0.151604, 0.000000, 0.151604
t_57, c_100, s_64, 0.371864, 0.000000, 0.371864
t_58, c_100, s_64, 0.137378, 0.000000, 0.137378
t_59, c_100, s_64, 0.147244, 0.000000, 0.147244
t_60, c_100, s_64, 0.153148, 0.000000, 0.153148
t_61, c_100, s_64, 0.160169, 0.000000, 0.160169
t_62, c_100, s_64, 0.477153, 0.000000, 0.477153
t_63, c_100, s_64, 0.222747, 0.000000, 0.222747
t_64, c_25, s_128, 0.977405, 0.000000, 0.977405
t_65, c_25, s_128, 0.862028, 0.000000, 0.862028
t_66, c_25, s_128, 1.325767, 0.000000, 1.325767
t_67, c_25, s_128, 1.262304, 0.000000, 1.262304
t_68, c_25, s_128, 1.435276, 0.000000, 1.435276
t_69, c_25, s_128, 0.896147, 0.000000, 0.896147
t_70, c_25, s_128, 0.914813, 0.000000, 0.914813
t_71, c_25, s_128, 0.887206, 0.000000, 0.887206
t_72, c_50, s_128, 0.986682, 0.000000, 0.986682
t_73, c_50, s_128, 0.959020, 0.000000, 0.959020
t_74, c_50, s_128, 1.265667, 0.000000, 1.265667
t_75, c_50, s_128, 1.045679, 0.000000, 1.045679
t_76, c_50, s_128, 1.245129, 0.000000, 1.245129
t_77, c_50, s_128, 0.856533, 0.000000, 0.856533
t_78, c_50, s_128, 1.097673, 0.000000, 1.097673
t_80, c_75, s_128, 1.186776, 0.000000, 1.186776
t_81, c_75, s_128, 0.846142, 0.000000, 0.846142
t_79, c_50, s_128, 1.034461, 0.000000, 1.034461
t_82, c_75, s_128, 0.863043, 0.000000, 0.863043
t_83, c_75, s_128, 1.177127, 0.000000, 1.177127
t_84, c_75, s_128, 0.984568, 0.000000, 0.984568
t_86, c_75, s_128, 1.019583, 0.000000, 1.019583
t_85, c_75, s_128, 1.065196, 0.000000, 1.065196
t_88, c_100, s_128, 0.855796, 0.000000, 0.855796
t_87, c_75, s_128, 1.005592, 0.000000, 1.005592
t_89, c_100, s_128, 0.993076, 0.000000, 0.993076
t_90, c_100, s_128, 0.955397, 0.000000, 0.955397
t_91, c_100, s_128, 0.948579, 0.000000, 0.948579
t_92, c_100, s_128, 0.937441, 0.000000, 0.937441
t_93, c_100, s_128, 1.209591, 0.000000, 1.209591
t_94, c_100, s_128, 1.394780, 0.000000, 1.394780
t_95, c_100, s_128, 0.903929, 0.000000, 0.903929
t_97, c_25, s_256, 6.846928, 0.000000, 6.846928
t_98, c_25, s_256, 6.157421, 0.000000, 6.157421
t_96, c_25, s_256, 7.690200, 0.000000, 7.690200
t_112, c_75, s_256, 6.861008, 0.000000, 6.861008
t_105, c_50, s_256, 9.292085, 0.000000, 9.292085
t_106, c_50, s_256, 8.519345, 0.000000, 8.519345
t_123, c_100, s_256, 7.413720, 0.000000, 7.413720
t_120, c_100, s_256, 9.097802, 0.000000, 9.097802
t_122, c_100, s_256, 8.258987, 0.000000, 8.258987
t_121, c_100, s_256, 8.728297, 0.000000, 8.728297
t_124, c_100, s_256, 7.342621, 0.000000, 7.342621
t_127, c_100, s_256, 8.557149, 0.000000, 8.557149
t_125, c_100, s_256, 8.783923, 0.000000, 8.783923
0000, 7.690200
t_112, c_75, s_256, 6.861008, 0.000000, 6.861008
t_105, c_50, s_256, 9.292085, 0.000000, 9.292085
t_106, c_50, s_256, 8.519345, 0.000000, 8.519345
t_123, c_100, s_256, 7.413720, 0.000000, 7.413720
t_120, c_100, s_256, 9.097802, 0.000000, 9.097802
t_122, c_100, s_256, 8.258987, 0.000000, 8.258987
t_121, c_100, s_256, 8.728297, 0.000000, 8.728297
t_124, c_100, s_256, 7.342621, 0.000000, 7.342621
t_127, c_100, s_256, 8.557149, 0.000000, 8.557149
t_125, c_100, s_256, 8.783923, 0.000t_126, c_100, s_256, 8.645340, 0.000000, 8.645340
t_115, c_75, s_256, 8.981072, 0.000000, 8.981072
t_114, c_75, s_256, 8.779939, 0.000000, 8.779939
t_113, c_75, s_256, 8.953430, 0.000000, 8.953430
t_116, c_75, s_256, 10.883419, 0.000000, 10.883419
t_119, c_75, s_256, 12.577480, 0.000000, 12.577480
t_118, c_75, s_256, 12.815955, 0.000000, 12.815955
t_117, c_75, s_256, 13.006863, 0.000000, 13.006863
t_107, c_50, s_256, 10.434106, 0.000000, 10.434106
t_110, c_50, s_256, 9.525801, 0.000000, 9.525801
t_109, c_50, s_256, 9.236011, 0.000000, 9.236011
t_108, c_50, s_256, 7.311885, 0.000000, 7.311885
t_111, c_50, s_256, 9.257802, 0.000000, 9.257802
t_0, c_25, s_32, 0.038817, 0.000000, 0.038817
t_102, c_25, s_256, 9.427076, 0.000000, 9.427076
t_104, c_50, s_256, 15.566423, 21.900378, 37.466801
t_101, c_25, s_256, 12.005615, 2.162459, 14.168074
t_99, c_25, s_256, 7.696882, 0.000000, 7.696882
t_100, c_25, s_256, 11.216325, 3.653203, 14.869528
t_103, c_25, s_256, 9.077619, 0.000000, 9.077619
