HELLO?t_1, c_25, s_32, 0.093826, 0.000000, 0.093826
t_5, c_25, s_32, 0.093748, 0.000000, 0.093748
t_9, c_50, s_32, 0.088149, 0.000000, 0.088149
t_13, c_50, s_32, 0.092720, 0.000000, 0.092720
t_17, c_75, s_32, 0.086473, 0.000000, 0.086473
t_21, c_75, s_32, 0.090298, 0.000000, 0.090298
t_25, c_100, s_32, 0.091361, 0.000000, 0.091361
t_29, c_100, s_32, 0.101877, 0.000000, 0.101877
t_33, c_25, s_64, 0.784585, 0.000000, 0.784585
t_49, c_75, s_64, 0.820620, 0.000000, 0.820620
t_57, c_100, s_64, 0.817761, 0.000000, 0.817761
t_61, c_100, s_64, 0.767024, 0.000000, 0.767024
t_89, c_100, s_128, 5.551903, 0.000000, 5.551903
t_93, c_100, s_128, 5.587300, 0.000000, 5.587300
t_81, c_75, s_128, 5.549899, 0.000000, 5.549899
t_85, c_75, s_128, 5.560363, 0.000000, 5.560363
t_41, c_50, s_64, 0.771891, 0.000000, 0.771891
t_73, c_50, s_128, 5.595711, 0.000000, 5.595711
t_37, c_25, s_64, 0.777538, 0.000000, 0.777538
t_65, c_25, s_128, 5.556935, 0.000000, 5.556935
t_53, c_75, s_64, 0.786870, 59.159223, 59.946093
t_45, c_50, s_64, 0.842316, 39.040056, 39.882372
t_77, c_50, s_128, 5.704856, 52.066567, 57.771423
t_69, c_25, s_128, 5.598054, 41.885349, 47.483403
t_125, c_100, s_256, 43.426649, 168.931334, 212.357983
t_121, c_100, s_256, 43.541095, 311.242118, 354.783213
t_117, c_75, s_256, 49.373446, 285.979492, 335.352938
t_97, c_25, s_256, 44.460220, 267.986619, 312.446839
t_109, c_50, s_256, 43.589204, 295.746354, 339.335558
t_113, c_75, s_256, 43.919006, 322.492361, 366.411367
t_105, c_50, s_256, 44.881655, 309.537688, 354.419343
t_101, c_25, s_256, 44.038745, 289.182431, 333.221176
