 t_9, c_50, s_32, 0.211000, 0.000000, 0.211000
t_25, c_100, s_32, 0.232200, 0.000000, 0.232200
t_29, c_100, s_32, 0.060400, 0.000000, 0.060400
t_57, c_100, s_64, 0.765600, 0.000000, 0.765600
t_61, c_100, s_64, 0.716100, 0.000000, 0.716100
t_89, c_100, s_128, 1.246200, 0.000000, 1.246200
t_93, c_100, s_128, 1.261200, 0.000000, 1.261200
t_17, c_75, s_32, 0.076000, 0.000000, 0.076000
t_21, c_75, s_32, 0.057200, 0.000000, 0.057200
t_49, c_75, s_64, 0.322400, 0.000000, 0.322400
t_53, c_75, s_64, 0.560600, 0.000000, 0.560600
t_81, c_75, s_128, 1.083600, 0.000000, 1.083600
t_85, c_75, s_128, 1.071200, 0.000000, 1.071200
t_13, c_50, s_32, 0.054600, 0.000000, 0.054600
t_41, c_50, s_64, 0.375000, 0.000000, 0.375000
t_45, c_50, s_64, 0.381000, 0.000000, 0.381000
t_73, c_50, s_128, 1.296100, 0.000000, 1.296100
t_77, c_50, s_128, 1.143900, 0.000000, 1.143900
t_1, c_25, s_32, 0.087500, 0.000000, 0.087500
t_5, c_25, s_32, 0.108900, 0.000000, 0.108900
t_33, c_25, s_64, 0.551800, 0.000000, 0.551800
t_37, c_25, s_64, 0.338900, 0.000000, 0.338900
t_65, c_25, s_128, 1.210500, 0.000000, 1.210500
t_69, c_25, s_128, 1.030800, 0.000000, 1.030800
t_97, c_25, s_256, 6.714200, 0.000000, 6.714200
t_121, c_100, s_256, 7.840000, 27.507200, 35.347200
t_105, c_50, s_256, 7.535000, 45.657900, 53.192900
t_101, c_25, s_256, 8.040300, 0.000900, 8.041200
t_109, c_50, s_256, 7.974000, 47.443800, 55.417800
t_125, c_100, s_256, 8.304400, 23.286700, 31.591100
t_113, c_75, s_256, 9.259200, 77.620500, 86.879700
t_117, c_75, s_256, 8.070400, 72.662400, 80.732800
